"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","LONG","LAT"
3,31,4,2016-03-31,"AA","N785AA","1","JFK","LAX","0900","0854",-6.00,0.00,"1234","1209",-25.00,0.00,0.00,"",394.00,375.00,332.00,2475.00,,,,,,40.63975111,-73.77892556
3,1,2,2016-03-01,"AA","N796AA","2","LAX","JFK","0900","0931",31.00,31.00,"1729","1743",14.00,14.00,0.00,"",329.00,312.00,285.00,2475.00,,,,,,33.94253611,-118.4080744
3,31,4,2016-03-31,"AA","N354AA","6","OGG","DFW","1700","1651",-9.00,0.00,"0501","0438",-23.00,0.00,0.00,"",421.00,407.00,393.00,3711.00,,,,,,20.89864972,-156.4304578
3,1,2,2016-03-01,"AA","N354AA","7","DFW","OGG","0905","0937",32.00,32.00,"1339","1358",19.00,19.00,0.00,"",514.00,501.00,482.00,3711.00,19.00,0.00,0.00,0.00,0.00,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N387AA","8","HNL","DFW","1840","1833",-7.00,0.00,"0559","0522",-37.00,0.00,0.00,"",439.00,409.00,383.00,3784.00,,,,,,21.31869111,-157.9224072
3,7,1,2016-03-07,"AA","N365AA","5","DFW","HNL","1055","1054",-1.00,0.00,"1539","1554",15.00,15.00,0.00,"",524.00,540.00,505.00,3784.00,0.00,0.00,15.00,0.00,0.00,32.89595056,-97.0372
3,28,1,2016-03-28,"AA","N792AA","9","JFK","SFO","0700","0654",-6.00,0.00,"1035","1042",7.00,7.00,0.00,"",395.00,408.00,376.00,2586.00,,,,,,40.63975111,-73.77892556
3,21,1,2016-03-21,"AA","N783AA","12","SFO","JFK","1125","1131",6.00,6.00,"2000","2013",13.00,13.00,0.00,"",335.00,342.00,290.00,2586.00,,,,,,37.61900194,-122.3748433
3,31,4,2016-03-31,"AA","N3CYAA","25","DFW","PHL","1250","1246",-4.00,0.00,"1654","1646",-8.00,0.00,0.00,"",184.00,180.00,151.00,1303.00,,,,,,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N3KVAA","25","PHL","DFW","1755","1750",-5.00,0.00,"2057","2051",-6.00,0.00,0.00,"",242.00,241.00,199.00,1303.00,,,,,,39.87195278,-75.24114083
3,31,4,2016-03-31,"AA","N889AA","36","SFO","DFW","0820","0820",0.00,0.00,"1349","1339",-10.00,0.00,0.00,"",209.00,199.00,180.00,1464.00,,,,,,37.61900194,-122.3748433
3,1,2,2016-03-01,"AA","N871AA","37","DFW","SFO","1845","1844",-1.00,0.00,"2039","2027",-12.00,0.00,0.00,"",234.00,223.00,205.00,1464.00,,,,,,32.89595056,-97.0372
3,4,5,2016-03-04,"AA","N3LYAA","122","ORD","SAN","2020","2018",-2.00,0.00,"2240","2250",10.00,10.00,0.00,"",260.00,272.00,241.00,1723.00,,,,,,41.979595,-87.90446417
3,5,6,2016-03-05,"AA","N3KFAA","122","SAN","ORD","2250","2245",-5.00,0.00,"0455","0432",-23.00,0.00,0.00,"",245.00,227.00,204.00,1723.00,,,,,,32.73355611,-117.1896567
3,25,5,2016-03-25,"AA","N3LBAA","35","EWR","DFW","0500","0455",-5.00,0.00,"0810","0755",-15.00,0.00,0.00,"",250.00,240.00,212.00,1372.00,,,,,,40.69249722,-74.16866056
3,1,2,2016-03-01,"AA","N3BTAA","128","DFW","EWR","1905","1923",18.00,18.00,"2323","2333",10.00,10.00,0.00,"",198.00,190.00,169.00,1372.00,,,,,,32.89595056,-97.0372
3,31,4,2016-03-31,"AA","N3KBAA","41","ORD","SEA","1715","1816",61.00,61.00,"1952","2033",41.00,41.00,0.00,"",277.00,257.00,227.00,1721.00,0.00,0.00,0.00,0.00,41.00,41.979595,-87.90446417
3,1,2,2016-03-01,"AA","N3MFAA","42","SEA","ORD","1040","1113",33.00,33.00,"1642","1725",43.00,43.00,0.00,"",242.00,252.00,196.00,1721.00,0.00,33.00,10.00,0.00,0.00,47.44898194,-122.3093131
3,31,4,2016-03-31,"AA","N3BNAA","44","SEA","JFK","0743","0739",-4.00,0.00,"1600","1606",6.00,6.00,0.00,"",317.00,327.00,304.00,2422.00,,,,,,47.44898194,-122.3093131
3,1,2,2016-03-01,"AA","N3DGAA","45","JFK","SEA","1825","1819",-6.00,0.00,"2147","2134",-13.00,0.00,0.00,"",382.00,375.00,338.00,2422.00,,,,,,40.63975111,-73.77892556
3,25,5,2016-03-25,"AA","N4XBAA","50","STL","DFW","1600","1554",-6.00,0.00,"1757","1737",-20.00,0.00,0.00,"",117.00,103.00,87.00,550.00,,,,,,38.74768694,-90.35998972
3,1,2,2016-03-01,"AA","N426AA","51","DFW","STL","1645","1754",69.00,69.00,"1823","1940",77.00,77.00,0.00,"",98.00,106.00,87.00,550.00,0.00,0.00,8.00,0.00,69.00,32.89595056,-97.0372
3,31,4,2016-03-31,"AA","N3FNAA","56","DEN","MIA","1105","1143",38.00,38.00,"1650","1713",23.00,23.00,0.00,"",225.00,210.00,190.00,1709.00,23.00,0.00,0.00,0.00,0.00,39.85840806,-104.6670019
3,1,2,2016-03-01,"AA","N3BVAA","57","MIA","DEN","2019","2017",-2.00,0.00,"2300","2306",6.00,6.00,0.00,"",281.00,289.00,261.00,1709.00,,,,,,25.79325,-80.29055556
3,31,4,2016-03-31,"AA","N850AA","58","KOA","LAX","1333","1346",13.00,13.00,"2145","2153",8.00,8.00,0.00,"",312.00,307.00,279.00,2504.00,,,,,,19.73876583,-156.0456314
3,1,2,2016-03-01,"AA","N851AA","59","LAX","KOA","0900","1001",61.00,61.00,"1303","1410",67.00,67.00,0.00,"",363.00,369.00,341.00,2504.00,61.00,0.00,6.00,0.00,0.00,33.94253611,-118.4080744
3,31,4,2016-03-31,"AA","N3GTAA","60","DFW","MIA","2030","2029",-1.00,0.00,"0015","0002",-13.00,0.00,0.00,"",165.00,153.00,126.00,1121.00,,,,,,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N348AA","61","MIA","DFW","0900","0901",1.00,1.00,"1122","1112",-10.00,0.00,0.00,"",202.00,191.00,165.00,1121.00,,,,,,25.79325,-80.29055556
3,31,4,2016-03-31,"AA","N393AA","64","MIA","JFK","1235","1232",-3.00,0.00,"1527","1542",15.00,15.00,0.00,"",172.00,190.00,149.00,1089.00,0.00,0.00,15.00,0.00,0.00,25.79325,-80.29055556
3,1,2,2016-03-01,"AA","N381AA","65","JFK","MIA","1540","1555",15.00,15.00,"1911","1901",-10.00,0.00,0.00,"",211.00,186.00,159.00,1089.00,,,,,,40.63975111,-73.77892556
3,31,4,2016-03-31,"AA","N3KSAA","66","AUS","JFK","0920","0914",-6.00,0.00,"1356","1357",1.00,1.00,0.00,"",216.00,223.00,192.00,1521.00,,,,,,30.19453278,-97.66987194
3,1,2,2016-03-01,"AA","N3JDAA","67","JFK","AUS","1710","1710",0.00,0.00,"2034","2015",-19.00,0.00,0.00,"",264.00,245.00,227.00,1521.00,,,,,,40.63975111,-73.77892556
3,31,4,2016-03-31,"AA","N7LBAA","68","LAX","MIA","1100","1258",118.00,118.00,"1843","2030",107.00,107.00,0.00,"",283.00,272.00,242.00,2342.00,47.00,0.00,0.00,0.00,60.00,33.94253611,-118.4080744
3,1,2,2016-03-01,"AA","N3MXAA","69","MIA","LAX","2005","2011",6.00,6.00,"2308","2256",-12.00,0.00,0.00,"",363.00,345.00,326.00,2342.00,,,,,,25.79325,-80.29055556
3,31,4,2016-03-31,"AA","N3DTAA","70","LAS","DFW","0945","0939",-6.00,0.00,"1430","1411",-19.00,0.00,0.00,"",165.00,152.00,123.00,1055.00,,,,,,36.08036111,-115.1523333
3,1,2,2016-03-01,"AA","N3AVAA","71","DFW","LAS","1705","1700",-5.00,0.00,"1807","1805",-2.00,0.00,0.00,"",182.00,185.00,151.00,1055.00,,,,,,32.89595056,-97.0372
3,31,4,2016-03-31,"AA","N862AA","72","LAX","LAS","1055","1052",-3.00,0.00,"1210","1200",-10.00,0.00,0.00,"",75.00,68.00,46.00,236.00,,,,,,33.94253611,-118.4080744
3,1,2,2016-03-01,"AA","N872AA","73","LAS","LAX","1845","1841",-4.00,0.00,"2001","2008",7.00,7.00,0.00,"",76.00,87.00,45.00,236.00,,,,,,36.08036111,-115.1523333
3,31,4,2016-03-31,"AA","N520AA","74","DFW","MEM","1640","1633",-7.00,0.00,"1806","1748",-18.00,0.00,0.00,"",86.00,75.00,58.00,431.00,,,,,,32.89595056,-97.0372
3,3,4,2016-03-03,"AA","N566AA","74","MEM","DFW","1850","1848",-2.00,0.00,"2033","2023",-10.00,0.00,0.00,"",103.00,95.00,65.00,431.00,,,,,,35.04241667,-89.97666667
3,31,4,2016-03-31,"AA","N3LAAA","75","JFK","MCO","1900","1900",0.00,0.00,"2203","2156",-7.00,0.00,0.00,"",183.00,176.00,138.00,944.00,,,,,,40.63975111,-73.77892556
3,1,2,2016-03-01,"AA","N3EUAA","76","MCO","JFK","1345","1515",90.00,90.00,"1620","1735",75.00,75.00,0.00,"",155.00,140.00,121.00,944.00,0.00,0.00,75.00,0.00,0.00,28.42888889,-81.31602778
3,31,4,2016-03-31,"AA","N3DAAA","156","ORD","SAN","0710","0719",9.00,9.00,"0934","0927",-7.00,0.00,0.00,"",264.00,248.00,232.00,1723.00,,,,,,41.979595,-87.90446417
3,1,2,2016-03-01,"AA","N3JYAA","156","SAN","ORD","1030","1028",-2.00,0.00,"1640","1653",13.00,13.00,0.00,"",250.00,265.00,217.00,1723.00,,,,,,32.73355611,-117.1896567
3,31,4,2016-03-31,"AA","N3BTAA","233","ORD","MIA","0500","0458",-2.00,0.00,"0859","0855",-4.00,0.00,0.00,"",179.00,177.00,153.00,1197.00,,,,,,41.979595,-87.90446417
3,1,2,2016-03-01,"AA","N3HYAA","234","MIA","ORD","2129","2126",-3.00,0.00,"0001","2331",-30.00,0.00,0.00,"",212.00,185.00,162.00,1197.00,,,,,,25.79325,-80.29055556
3,31,4,2016-03-31,"AA","N4WMAA","248","BNA","DFW","0928","0936",8.00,8.00,"1138","1130",-8.00,0.00,0.00,"",130.00,114.00,97.00,631.00,,,,,,36.12447667,-86.67818222
3,1,2,2016-03-01,"AA","N403AA","248","DFW","BNA","0700","0654",-6.00,0.00,"0847","0837",-10.00,0.00,0.00,"",107.00,103.00,86.00,631.00,,,,,,32.89595056,-97.0372
3,31,4,2016-03-31,"AA","N3KMAA","250","TPA","MIA","1150","1145",-5.00,0.00,"1255","1243",-12.00,0.00,0.00,"",65.00,58.00,38.00,204.00,,,,,,27.97547222,-82.53325
3,1,2,2016-03-01,"AA","N3CMAA","251","MIA","TPA","1650","1643",-7.00,0.00,"1754","1744",-10.00,0.00,0.00,"",64.00,61.00,43.00,204.00,,,,,,25.79325,-80.29055556
3,31,4,2016-03-31,"AA","N3LFAA","252","BOS","ORD","1400","1456",56.00,56.00,"1602","1708",66.00,66.00,0.00,"",182.00,192.00,155.00,867.00,0.00,0.00,63.00,0.00,3.00,42.3643475,-71.00517917
3,3,4,2016-03-03,"AA","N3FRAA","252","ORD","BOS","1005","1037",32.00,32.00,"1315","1338",23.00,23.00,0.00,"",130.00,121.00,103.00,867.00,23.00,0.00,0.00,0.00,0.00,41.979595,-87.90446417
3,31,4,2016-03-31,"AA","N3CNAA","262","DFW","LGA","1930","1928",-2.00,0.00,"2341","2330",-11.00,0.00,0.00,"",191.00,182.00,162.00,1389.00,,,,,,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N3CCAA","263","LGA","DFW","0600","0556",-4.00,0.00,"0912","0849",-23.00,0.00,0.00,"",252.00,233.00,209.00,1389.00,,,,,,40.77724306,-73.87260917
3,31,4,2016-03-31,"AA","N856AA","265","LAX","LIH","0910","0905",-5.00,0.00,"1232","1233",1.00,1.00,0.00,"",382.00,388.00,360.00,2615.00,,,,,,33.94253611,-118.4080744
3,1,2,2016-03-01,"AA","N864AA","266","LIH","LAX","1502","1501",-1.00,0.00,"2230","2142",-48.00,0.00,0.00,"",328.00,281.00,260.00,2615.00,,,,,,21.97598306,-159.3389581
3,31,4,2016-03-31,"AA","N3LRAA","336","ORD","LGA","1940","1935",-5.00,0.00,"2239","2237",-2.00,0.00,0.00,"",119.00,122.00,96.00,733.00,,,,,,41.979595,-87.90446417
3,1,2,2016-03-01,"AA","N3LHAA","337","LGA","ORD","1355","1738",223.00,223.00,"1545","1926",221.00,221.00,0.00,"",170.00,168.00,121.00,733.00,0.00,0.00,221.00,0.00,0.00,40.77724306,-73.87260917
3,31,4,2016-03-31,"AA","N3EGAA","340","DFW","MCI","1200","1148",-12.00,0.00,"1337","1308",-29.00,0.00,0.00,"",97.00,80.00,65.00,460.00,,,,,,32.89595056,-97.0372
3,1,2,2016-03-01,"AA","N3CPAA","340","MCI","DFW","1430","1418",-12.00,0.00,"1609","1555",-14.00,0.00,0.00,"",99.00,97.00,75.00,460.00,,,,,,39.29760528,-94.71390556
3,31,4,2016-03-31,"AA","N019AA","182","LAX","AUS","1935","1930",-5.00,0.00,"0030","0013",-17.00,0.00,0.00,"",175.00,163.00,145.00,1242.00,,,,,,33.94253611,-118.4080744
3,1,2,2016-03-01,"AA","N018AA","183","AUS","LAX","0705","0656",-9.00,0.00,"0832","0820",-12.00,0.00,0.00,"",207.00,204.00,177.00,1242.00,,,,,,30.19453278,-97.66987194
3,3,4,2016-03-03,"WN","N265WN","744","BWI","BOS","1010","1009",-1.00,0.00,"1130","1118",-12.00,0.00,0.00,"",80.00,69.00,54.00,369.00,,,,,,39.17540167,-76.66819833
3,3,4,2016-03-03,"WN","N8655D","2645","BOS","BWI","1730","1733",3.00,3.00,"1915","1905",-10.00,0.00,0.00,"",105.00,92.00,69.00,369.00,,,,,,42.3643475,-71.00517917
3,3,4,2016-03-03,"WN","N214WN","1452","PIT","BWI","1250","1252",2.00,2.00,"1355","1346",-9.00,0.00,0.00,"",65.00,54.00,40.00,210.00,,,,,,40.49146583,-80.23287083
3,3,4,2016-03-03,"WN","N915WN","222","BWI","PIT","2210","2327",77.00,77.00,"2310","0135",145.00,145.00,0.00,"",60.00,128.00,40.00,210.00,0.00,59.00,68.00,0.00,18.00,39.17540167,-76.66819833
3,27,7,2016-03-27,"WN","N487WN","2442","PHL","MDW","1210","1206",-4.00,0.00,"1320","1311",-9.00,0.00,0.00,"",130.00,125.00,111.00,668.00,,,,,,39.87195278,-75.24114083
3,29,2,2016-03-29,"WN","N7707C","539","MDW","PHL","1335","1337",2.00,2.00,"1630","1627",-3.00,0.00,0.00,"",115.00,110.00,89.00,668.00,,,,,,41.7859825,-87.75242444
3,5,6,2016-03-05,"OO","N930EV","4694","DAY","DTW","1340","1441",61.00,61.00,"1442","1535",53.00,53.00,0.00,"",62.00,54.00,36.00,166.00,0.00,0.00,0.00,0.00,53.00,39.90237583,-84.219375
3,5,6,2016-03-05,"OO","N930EV","4694","DTW","DAY","1205","1238",33.00,33.00,"1306","1412",66.00,66.00,0.00,"",61.00,94.00,30.00,166.00,30.00,0.00,33.00,0.00,3.00,42.21205889,-83.34883583
3,11,5,2016-03-11,"OO","N796SK","5601","ATL","IAH","1412","1422",10.00,10.00,"1529","1527",-2.00,0.00,0.00,"",137.00,125.00,101.00,689.00,,,,,,33.64044444,-84.42694444
3,2,3,2016-03-02,"OO","N773SK","5867","IAH","ATL","0850","0845",-5.00,0.00,"1152","1137",-15.00,0.00,0.00,"",122.00,112.00,89.00,689.00,,,,,,29.98047222,-95.33972222













